RespondentID,Model,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33
P12,PPO Baseline (50M),2,3,2,2,2,2,3,1,3,3,2,3,3,3,2,1,2,3,3,2,3,2,2,1,2,1,2,3,2,4,3,2,1
P12,HCA Max (50M - RLHC),4,3,3,4,3,4,1,1,2,2,4,3,3,4,3,1,2,3,3,3,3,3,2,3,3,4,4,4,3,3,2,3,3
P13,PPO Baseline (50M),3,2,2,3,2,3,2,2,3,2,2,2,2,2,3,2,3,2,2,2,4,2,3,1,2,3,3,3,2,3,4,2,2
P13,HCA Max (50M - RLHC),4,4,3,3,3,3,1,0,1,3,3,4,3,4,3,1,3,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,3
P14,PPO Baseline (50M),2,3,3,1,3,3,2,2,3,3,3,4,2,2,2,2,3,4,2,3,3,3,4,2,2,3,3,3,3,2,3,3,3
P14,HCA Max (50M - RLHC),4,3,4,4,3,3,1,2,1,3,3,3,4,3,3,0,3,3,4,3,3,3,4,2,3,4,3,3,3,4,2,3,3
P15,PPO Baseline (50M),3,2,2,3,3,2,2,4,1,1,2,2,1,3,3,2,2,3,3,2,4,1,1,2,2,2,2,2,1,3,2,3,2
P15,HCA Max (50M - RLHC),4,3,3,4,4,3,2,1,2,2,4,3,2,3,2,2,2,3,2,3,2,2,4,3,3,3,3,3,2,4,4,3,3
P16,PPO Baseline (50M),3,1,2,2,1,2,4,3,2,3,3,3,2,2,3,3,3,3,3,2,3,2,4,2,3,2,2,2,2,3,3,2,2
P16,HCA Max (50M - RLHC),4,4,3,3,3,4,0,1,0,3,4,3,4,3,2,1,3,4,3,4,3,2,4,3,2,4,4,3,3,3,3,3,3
P17,PPO Baseline (50M),2,3,3,2,3,1,3,1,2,2,1,3,2,3,3,3,3,2,3,2,2,2,3,3,2,2,2,4,2,3,3,2,2
P17,HCA Max (50M - RLHC),3,3,3,4,3,4,1,1,0,3,3,4,1,4,3,2,2,3,3,3,4,2,3,3,3,3,3,4,2,3,4,4,4
P18,PPO Baseline (50M),3,2,3,2,2,2,2,3,3,3,3,3,2,3,3,1,3,3,2,3,3,2,2,2,1,1,3,2,2,1,2,1,3
P18,HCA Max (50M - RLHC),4,2,4,4,3,2,2,0,0,3,4,4,3,4,3,2,3,3,3,3,3,1,3,2,2,3,4,4,2,3,4,3,3
P19,PPO Baseline (50M),3,2,3,2,2,3,1,3,2,3,2,3,2,2,3,3,3,3,2,2,2,3,1,2,2,3,2,3,2,3,2,4,1
P19,HCA Max (50M - RLHC),4,3,3,3,3,3,1,2,2,3,2,3,4,3,4,2,3,3,4,3,3,2,3,2,2,3,3,3,2,3,4,2,3
P20,PPO Baseline (50M),3,2,4,3,2,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,3,2,4,2,2,2,3,2,3,3,2,1,1
P20,HCA Max (50M - RLHC),4,2,2,4,4,3,2,1,1,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,4,4,3,3,2,3,3,3,3
P21,PPO Baseline (50M),2,3,2,3,2,1,2,2,1,3,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,1,1,3,1,2,1,1,2
P21,HCA Max (50M - RLHC),4,3,2,3,3,3,1,1,1,3,3,4,3,3,2,1,2,3,4,3,2,3,3,2,4,3,4,4,2,4,3,4,3
P22,PPO Baseline (50M),3,4,3,2,3,2,4,2,2,3,1,2,3,2,2,3,3,3,3,2,2,3,2,2,3,2,3,4,2,3,2,2,3
P22,HCA Max (50M - RLHC),4,3,4,3,3,3,0,2,0,3,3,3,4,4,3,1,3,3,4,4,3,3,4,3,2,3,3,3,3,4,3,3,4
P23,PPO Baseline (50M),3,4,3,1,3,3,3,3,2,2,2,2,2,3,4,3,2,3,3,2,3,2,2,3,2,2,2,2,3,2,3,2,2
P23,HCA Max (50M - RLHC),4,2,2,3,4,3,3,1,1,4,4,4,4,4,3,2,3,3,3,3,3,3,4,3,4,3,3,3,1,3,3,4,4
P24,PPO Baseline (50M),2,4,3,3,2,2,2,3,4,4,2,2,2,1,3,2,2,2,3,2,2,0,2,3,3,2,2,3,2,3,3,3,2
P24,HCA Max (50M - RLHC),3,2,3,3,3,4,1,2,1,3,3,2,4,4,3,1,3,2,3,4,2,3,2,3,3,2,4,3,2,3,4,3,3
P25,PPO Baseline (50M),3,3,3,2,2,2,1,0,3,3,0,2,3,4,3,2,3,3,2,2,2,2,2,3,2,2,2,1,3,2,2,4,2
P25,HCA Max (50M - RLHC),3,3,4,3,2,4,1,2,2,3,4,3,4,4,2,1,3,3,3,3,3,4,3,3,4,3,3,2,3,3,4,4,4
P26,PPO Baseline (50M),3,3,3,2,2,2,2,3,1,3,3,2,1,2,3,2,2,2,3,3,3,2,2,2,3,2,3,3,3,2,2,2,1
P26,HCA Max (50M - RLHC),4,2,4,3,3,4,1,1,1,3,2,3,4,3,2,1,3,3,3,4,3,3,3,3,4,3,3,4,2,2,4,3,3
P27,PPO Baseline (50M),3,3,3,2,3,2,3,3,2,3,2,3,2,4,3,2,3,2,3,1,2,1,3,3,2,2,3,3,2,3,3,2,2
P27,HCA Max (50M - RLHC),4,1,3,3,2,4,2,1,2,4,4,4,4,3,2,1,2,4,3,3,3,3,4,2,3,3,2,3,2,3,3,2,3
P28,PPO Baseline (50M),1,3,3,2,2,2,3,3,1,3,2,3,2,2,3,2,3,3,4,2,2,1,1,1,2,2,2,3,2,3,3,3,2
P28,HCA Max (50M - RLHC),3,2,3,3,3,3,1,1,1,3,3,3,4,3,3,2,3,4,3,3,3,2,3,2,3,3,2,3,3,3,2,4,3
P29,PPO Baseline (50M),3,3,2,3,1,3,3,2,3,3,2,3,2,3,3,1,3,2,3,3,2,2,1,2,2,3,3,3,2,2,1,2,3
P29,HCA Max (50M - RLHC),4,2,3,3,3,3,1,1,1,3,3,3,3,3,3,1,4,3,3,4,3,3,3,2,3,2,3,2,3,4,4,4,4
P30,PPO Baseline (50M),1,2,2,2,2,2,1,3,1,3,4,2,0,2,3,4,2,3,2,2,4,1,2,3,3,2,3,2,2,2,3,2,2
P30,HCA Max (50M - RLHC),3,3,3,3,4,3,1,1,2,2,4,4,3,3,3,1,3,3,3,3,3,2,4,3,1,4,3,3,2,4,4,3,3
